# KENAI_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.00,11.00,0.00,9.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50,8.50,7.50,0.00,0.00,0.00,0.00,0.00,11.50,0.00,0.00,0.00,7.00,1.50,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,3.50,13.00,0.00,9.00,0.00,0.00,0.00,0.00,13.50,0.00,8.50,1.00,0.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50,22.50,16.00,0.00,0.00,0.00,2.00,0.00,26.50,0.00,0.00,0.00,10.50,2.50,12.50,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
2,10.00,14.00,0.00,9.00,0.50,0.00,0.00,0.00,18.50,0.00,16.50,1.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,9.50,0.00,0.50,35.00,23.50,0.00,0.00,0.00,2.00,0.00,36.00,0.00,0.00,2.50,10.50,10.50,16.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00
3,22.00,14.00,0.00,11.00,11.00,0.00,0.00,0.00,24.00,0.00,16.50,1.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,17.50,2.50,0.50,42.50,29.00,7.50,0.00,0.00,12.50,0.00,36.50,0.00,0.00,5.50,17.50,20.50,16.00,0.00,0.00,0.00,0.00,0.00,17.50,0.00,0.00
4,31.00,24.50,1.00,15.00,22.00,0.00,0.00,0.00,28.00,0.00,16.50,1.00,0.00,17.00,0.00,0.00,6.50,0.00,0.00,0.00,18.50,10.50,0.50,49.50,29.00,15.00,3.50,0.00,24.50,3.50,42.50,0.00,0.00,5.50,20.50,29.50,17.00,0.00,0.00,0.00,0.00,0.00,21.50,0.00,0.00
5,41.50,33.00,4.50,19.00,33.00,4.50,0.00,0.00,33.00,0.00,16.50,8.00,0.00,17.50,0.00,0.00,6.50,1.00,0.00,0.00,21.00,16.50,0.50,56.50,29.00,19.00,7.50,0.00,37.50,6.50,42.50,2.50,0.00,6.50,20.50,38.00,26.00,0.00,0.00,5.50,0.00,0.00,21.50,0.00,2.00
6,47.00,41.50,10.50,20.50,40.50,4.50,0.00,0.00,41.50,0.00,16.50,15.50,0.00,19.50,3.50,0.00,6.50,1.00,2.50,0.00,21.00,21.00,0.50,59.50,29.00,34.00,7.50,0.00,48.50,6.50,42.50,2.50,0.00,17.00,20.50,48.00,31.00,0.00,0.00,12.50,0.00,0.00,21.50,0.00,5.00
7,53.00,51.00,16.50,20.50,49.50,5.50,0.00,2.50,46.00,0.00,16.50,15.50,7.00,24.50,14.50,0.00,6.50,2.00,2.50,0.00,21.00,27.50,0.50,60.50,29.00,47.50,7.50,0.00,57.00,6.50,42.50,2.50,0.00,25.50,20.50,50.00,38.00,0.00,0.00,23.50,0.00,0.00,27.50,0.00,5.00
8,53.00,63.50,21.50,20.50,65.00,13.50,0.00,2.50,49.50,0.00,16.50,15.50,17.50,25.00,28.50,0.00,6.50,2.00,2.50,0.00,21.00,37.00,0.50,60.50,29.00,59.00,7.50,0.00,72.50,7.50,42.50,2.50,0.00,35.50,20.50,50.00,46.50,0.00,5.00,33.00,0.00,0.00,33.00,0.00,5.00
9,53.00,78.00,21.50,20.50,81.50,21.50,0.00,4.50,59.50,0.00,16.50,15.50,26.50,26.00,37.50,0.00,13.00,2.00,2.50,0.00,21.00,47.00,0.50,60.50,37.50,71.50,7.50,0.00,83.00,14.50,42.50,2.50,0.00,38.50,20.50,50.00,50.50,0.00,5.00,46.00,0.00,3.00,40.00,0.00,5.00
10,53.00,92.50,21.50,25.00,95.00,27.00,4.00,4.50,69.50,0.00,16.50,15.50,35.00,33.50,42.50,0.00,17.50,4.50,2.50,0.00,23.00,58.50,0.50,60.50,47.50,84.50,7.50,0.00,88.50,22.00,42.50,2.50,0.00,38.50,29.50,50.00,61.00,0.00,5.00,55.50,0.00,3.00,49.50,0.00,5.00
11,53.00,107.00,21.50,36.50,105.00,31.50,11.50,4.50,80.00,0.00,21.50,15.50,39.50,41.50,49.00,0.00,20.00,4.50,8.00,4.00,28.00,68.00,0.50,60.50,54.00,93.50,7.50,0.00,93.00,30.00,42.50,2.50,0.00,39.00,34.00,50.00,71.00,0.00,6.00,62.00,0.00,3.00,58.00,0.00,8.50
12,53.00,120.50,21.50,53.00,113.50,31.50,23.50,4.50,89.50,0.00,29.00,15.50,39.50,44.50,54.00,0.00,26.50,4.50,11.50,8.00,36.50,75.50,0.50,60.50,57.50,104.50,7.50,0.00,94.50,33.00,42.50,2.50,0.00,39.00,44.00,50.00,77.00,0.00,13.50,69.50,0.00,3.00,60.00,0.00,9.00
13,53.00,134.50,21.50,69.50,124.50,31.50,33.00,4.50,93.50,0.00,29.00,17.50,39.50,44.50,61.50,0.00,34.50,4.50,21.50,11.00,47.00,84.00,0.50,60.50,63.50,111.00,7.50,0.00,94.50,33.00,44.00,2.50,0.00,39.00,48.00,50.00,81.50,0.00,15.50,80.50,0.00,3.00,60.00,0.00,9.00
14,53.00,147.50,21.50,83.00,132.00,31.50,38.50,10.00,97.00,0.00,29.00,17.50,46.50,44.50,61.50,0.00,42.00,4.50,33.50,15.50,55.50,93.00,0.50,65.00,63.50,115.50,7.50,0.00,96.50,33.00,48.00,2.50,0.00,39.00,48.00,50.00,86.50,0.00,16.00,86.00,0.00,3.00,60.00,0.00,9.00
15,53.00,159.00,23.50,95.50,143.50,31.50,48.00,15.00,100.50,0.00,29.00,17.50,52.50,44.50,61.50,0.00,47.50,4.50,44.50,15.50,65.50,100.00,5.00,77.00,63.50,121.00,7.50,0.00,99.50,33.00,52.50,4.00,0.00,39.00,48.00,54.50,93.00,0.00,25.00,100.50,0.00,3.00,63.50,0.00,9.00
16,53.00,175.00,34.00,106.00,152.50,31.50,53.00,19.50,105.50,0.00,29.00,17.50,54.00,44.50,61.50,0.00,47.50,4.50,57.50,15.50,72.50,102.00,10.00,86.50,63.50,124.50,7.50,0.00,99.50,33.00,52.50,12.00,0.00,39.00,50.00,64.00,96.00,0.00,35.00,113.00,0.00,3.00,65.00,4.50,14.50
